Sample.ID,Spp,Quad/circ,Sample.event,Count
North1,tall.coneflower,Circ,July,15
North1,blue.vervain,Circ,July,21
North1,c_horsenettle,Circ,July,3
North1,wild.senna,Circ,July,4
North1,wild.bergamot,Circ,July,8
North1,joe.pye.weed,Circ,July,3
North2,blue.vervain,Circ,July,16
North2,sedge,Circ,July,45
North2,american.water.horehound,Circ,July,5
North3,mountainmint,Circ,July,4
North3,Canada.goldenrod,Circ,July,23
North3,blue.vervain,Circ,July,31
North3,c_horsenettle,Circ,July,4
North4,mountainmint,Circ,July,1
North4,tall.coneflower,Circ,July,5
North4,Canada.goldenrod,Circ,July,12
North4,blue.vervain,Circ,July,5
North4,virginia.wildrye,Circ,July,9
North4,m_rose,Circ,July,3
North5,Canada.goldenrod,Circ,July,43
North5,blue.vervain,Circ,July,35
North5,joe.pye.weed,Circ,July,8
South1,biennial.beeblossom,Circ,July,2
South1,Canada.goldenrod,Circ,July,8
South1,virginia.wildrye,Circ,July,56
South1,wild.bergamot,Circ,July,1
South2,biennial.beeblossom,Circ,July,3
South2,Canada.goldenrod,Circ,July,23
South2,deertongue,Circ,July,48
South2,virginia.wildrye,Circ,July,13
South2,wild.bergamot,Circ,July,8
South3,mountainmint,Circ,July,12
South3,biennial.beeblossom,Circ,July,3
South3,blue.vervain,Circ,July,5
South3,deertongue,Circ,July,41
South3,virginia.wildrye,Circ,July,2
South3,wild.bergamot,Circ,July,1
South4,blue.vervain,Circ,July,22
South4,pokeweed,Circ,July,1
South4,roundhead.lesperdeza,Circ,July,3
South4,switchgrass,Circ,July,1
South5,blue.vervain,Circ,July,6
South5,virginia.wildrye,Circ,July,35
South5,wild.bergamot,Circ,July,17
Contr1,Canada.goldenrod,Circ,July,16
Contr1,pokeweed,Circ,July,72
Contr1,virginia.wildrye,Circ,July,41
Contr2,Canada.goldenrod,Circ,July,32
Contr2,pokeweed,Circ,July,64
Contr2,virginia.wildrye,Circ,July,36
Contr3,Canada.goldenrod,Circ,July,34
Contr3,pokeweed,Circ,July,53
Contr3,virginia.wildrye,Circ,July,37
Contr3,g_burdock,Circ,July,4
Contr4,Canada.goldenrod,Circ,July,194
Contr4,virginia.wildrye,Circ,July,9
Contr5,Canada.goldenrod,Circ,July,179
Contr5,virginia.wildrye,Circ,July,9
North1,sedge,Quad,July,2
North1,little.bluestem,Quad,July,2
North1,m_rose,Quad,July,3
North1,american.water.horehound,Quad,July,6
North1,switchgrass,Quad,July,1
North2,virginia.wildrye,Quad,July,5
North2,redtop.panicgrass,Quad,July,3
North2,joe.pye.weed,Quad,July,3
North3,blue.vervain,Quad,July,8
North3,virginia.wildrye,Quad,July,6
North3,common.milkweed,Quad,July,2
North4,Canada.goldenrod,Quad,July,19
North4,blue.vervain,Quad,July,4
North4,deertongue,Quad,July,15
North5,tall.coneflower,Quad,July,5
North5,Canada.goldenrod,Quad,July,5
North5,blue.vervain,Quad,July,9
North5,mugwort,Quad,July,1
South1,tall.coneflower,Quad,July,4
South1,Canada.goldenrod,Quad,July,3
South1,blue.vervain,Quad,July,3
South1,virginia.wildrye,Quad,July,5
South2,rush,Quad,July,3
South2,blue.vervain,Quad,July,10
South2,sedge,Quad,July,3
South2,spiderwort,Quad,July,3
South3,blue.vervain,Quad,July,3
South3,joe.pye.weed,Quad,July,4
South3,spiderwort,Quad,July,1
South3,st.johns.wort,Quad,July,2
South4,blue.vervain,Quad,July,5
South4,deertongue,Quad,July,8
South4,virginia.wildrye,Quad,July,1
South4,wild.bergamot,Quad,July,3
South4,joe.pye.weed,Quad,July,1
South5,virginia.wildrye,Quad,July,20
South5,little.bluestem,Quad,July,1
South5,biennial.beeblossom,Quad,July,1
South5,redtop.panicgrass,Quad,July,4
Contr1,flat.topped.goldenrod,Quad,July,5
Contr1,c_horsenettle,Quad,July,2
Contr1,pokeweed,Quad,July,7
Contr2,flat.topped.goldenrod,Quad,July,23
Contr2,c_horsenettle,Quad,July,32
Contr2,pokeweed,Quad,July,21
Contr3,flat.topped.goldenrod,Quad,July,29
Contr3,c_horsenettle,Quad,July,3
Contr3,pokeweed,Quad,July,2
Contr4,flat.topped.goldenrod,Quad,July,48
Contr4,c_horsenettle,Quad,July,1
Contr5,Canada.goldenrod,Quad,July,7
Contr5,c_horsenettle,Quad,July,2
Contr5,pokeweed,Quad,July,5
North1,biennial.beeblossom,Circ,September,4
North1,Canada.goldenrod,Circ,September,4
North1,virginia.wildrye,Circ,September,41
North1,indiangrass,Circ,September,4
North1,wild.senna,Circ,September,8
North1,evening.primrose,Circ,September,1
North2,rush,Circ,September,8
North2,blue.vervain,Circ,September,16
North2,sedge,Circ,September,15
North2,indiangrass,Circ,September,3
North2,eastern.willowherb,Circ,September,11
North3,tall.coneflower,Circ,September,1
North3,Canada.goldenrod,Circ,September,36
North3,blue.vervain,Circ,September,54
North3,sedge,Circ,September,3
North4,tall.coneflower,Circ,September,9
North4,flat.topped.goldenrod,Circ,September,32
North4,blue.vervain,Circ,September,6
North4,virginia.wildrye,Circ,September,5
North4,m_rose,Circ,September,3
North4,square.stemmed.monkeyflower,Circ,September,1
North5,Canada.goldenrod,Circ,September,34
North5,blue.vervain,Circ,September,12
North5,sedge,Circ,September,1
North5,wild.senna,Circ,September,3
North5,eastern.willowherb,Circ,September,7
North5,evening.primrose,Circ,September,3
South1,biennial.beeblossom,Circ,September,3
South1,Canada.goldenrod,Circ,September,12
South1,virginia.wildrye,Circ,September,38
South1,boneset,Circ,September,1
South1,climbing.hempweed,Circ,September,2
South2,biennial.beeblossom,Circ,September,3
South2,Canada.goldenrod,Circ,September,45
South2,deertongue,Circ,September,25
South2,virginia.wildrye,Circ,September,9
South3,tall.coneflower,Circ,September,3
South3,Canada.goldenrod,Circ,September,4
South3,blue.vervain,Circ,September,16
South3,deertongue,Circ,September,13
South3,boneset,Circ,September,6
South4,rush,Circ,September,3
South4,blue.vervain,Circ,September,18
South4,pokeweed,Circ,September,2
South4,sedge,Circ,September,3
South4,boneset,Circ,September,2
South4,evening.primrose,Circ,September,6
South5,biennial.beeblossom,Circ,September,5
South5,purplestem.aster,Circ,September,7
South5,Canada.goldenrod,Circ,September,8
South5,blue.vervain,Circ,September,3
South5,virginia.wildrye,Circ,September,16
South5,indiangrass,Circ,September,7
South5,wild.senna,Circ,September,3
Contr1,flat.topped.goldenrod,Circ,September,8
Contr1,Canada.goldenrod,Circ,September,87
Contr1,c_horsenettle,Circ,September,8
Contr1,pokeweed,Circ,September,1
Contr2,Canada.goldenrod,Circ,September,3
Contr2,c_horsenettle,Circ,September,12
Contr2,pokeweed,Circ,September,4
Contr2,climbing.false.buckwheat,Circ,September,3
Contr3,Canada.goldenrod,Circ,September,8
Contr3,pokeweed,Circ,September,17
Contr3,sedge,Circ,September,3
Contr3,climbing.false.buckwheat,Circ,September,2
Contr4,Canada.goldenrod,Circ,September,47
Contr5,c_horsenettle,Circ,September,5
Contr5,Canada.goldenrod,Circ,September,22
Contr5,c_horsenettle,Circ,September,13
Contr5,pokeweed,Circ,September,2
Contr5,climbing.false.buckwheat,Circ,September,4
North1,Canada.goldenrod,Quad,September,2
North1,blue.vervain,Quad,September,4
North1,eastern.willowherb,Quad,September,4
North1,smartweed,Quad,September,11
North2,Canada.goldenrod,Quad,September,1
North2,blue.vervain,Quad,September,3
North2,eastern.willowherb,Quad,September,5
North3,tall.coneflower,Quad,September,1
North3,Canada.goldenrod,Quad,September,2
North3,blue.vervain,Quad,September,6
North3,eastern.willowherb,Quad,September,3
North4,tall.coneflower,Quad,September,5
North4,blue.vervain,Quad,September,1
North4,sedge,Quad,September,1
North4,eastern.willowherb,Quad,September,15
North5,sedge,Quad,September,15
North5,indiangrass,Quad,September,6
North5,switchgrass,Quad,September,2
North5,eastern.willowherb,Quad,September,2
South1,purplestem.aster,Quad,September,4
South1,Canada.goldenrod,Quad,September,2
South1,deertongue,Quad,September,5
South1,virginia.wildrye,Quad,September,19
South1,boneset,Quad,September,3
South2,biennial.beeblossom,Quad,September,1
South2,Canada.goldenrod,Quad,September,5
South2,deertongue,Quad,September,3
South2,boneset,Quad,September,2
South3,tall.coneflower,Quad,September,2
South3,purplestem.aster,Quad,September,3
South3,deertongue,Quad,September,1
South3,virginia.wildrye,Quad,September,3
South3,sedge,Quad,September,2
South3,blue.false.indigo,Quad,September,1
South4,Canada.goldenrod,Quad,September,14
South4,blue.vervain,Quad,September,9
South4,biennial.beeblossom,Quad,September,1
South5,tall.coneflower,Quad,September,1
South5,Canada.goldenrod,Quad,September,5
South5,deertongue,Quad,September,4
South5,pokeweed,Quad,September,1
Contr1,Canada.goldenrod,Quad,September,36
Contr1,c_horsenettle,Quad,September,3
Contr1,evening.primrose,Quad,September,2
Contr2,Canada.goldenrod,Quad,September,10
Contr2,c_horsenettle,Quad,September,3
Contr2,pokeweed,Quad,September,2
Contr3,Canada.goldenrod,Quad,September,12
Contr3,pokeweed,Quad,September,1
Contr3,evening.primrose,Quad,September,1
Contr4,Canada.goldenrod,Quad,September,19
Contr4,c_horsenettle,Quad,September,11
Contr5,tall.coneflower,Quad,September,1
Contr5,Canada.goldenrod,Quad,September,5
Contr5,c_horsenettle,Quad,September,1
North1,biennial.beeblossom,Circ,October,6
North1,tall.coneflower,Circ,October,1
North1,purplestem.aster,Circ,October,3
North1,blue.vervain,Circ,October,17
North1,indiangrass,Circ,October,7
North1,smartweed,Circ,October,4
North2,rush,Circ,October,33
North2,blue.vervain,Circ,October,14
North2,sedge,Circ,October,21
North2,eastern.willowherb,Circ,October,16
North3,rush,Circ,October,4
North3,Canada.goldenrod,Circ,October,34
North3,blue.vervain,Circ,October,31
North3,st.johns.wort,Circ,October,2
North4,biennial.beeblossom,Circ,October,5
North4,purplestem.aster,Circ,October,6
North4,Canada.goldenrod,Circ,October,9
North4,blue.vervain,Circ,October,7
North4,m_rose,Circ,October,3
North5,Canada.goldenrod,Circ,October,4
North5,blue.vervain,Circ,October,23
North5,eastern.willowherb,Circ,October,30
North5,evening.primrose,Circ,October,1
South1,aromatic.aster,Circ,October,3
South1,purplestem.aster,Circ,October,1
South1,Canada.goldenrod,Circ,October,14
South1,virginia.wildrye,Circ,October,48
South1,boneset,Circ,October,1
South2,biennial.beeblossom,Circ,October,3
South2,Canada.goldenrod,Circ,October,40
South2,deertongue,Circ,October,23
South2,virginia.wildrye,Circ,October,12
South3,biennial.beeblossom,Circ,October,3
South3,purplestem.aster,Circ,October,1
South3,Canada.goldenrod,Circ,October,3
South3,blue.vervain,Circ,October,14
South3,deertongue,Circ,October,36
South3,boneset,Circ,October,2
South4,biennial.beeblossom,Circ,October,5
South4,blue.vervain,Circ,October,17
South4,boneset,Circ,October,6
South4,switchgrass,Circ,October,2
South4,evening.primrose,Circ,October,12
South5,biennial.beeblossom,Circ,October,7
South5,purplestem.aster,Circ,October,6
South5,Canada.goldenrod,Circ,October,5
South5,virginia.wildrye,Circ,October,12
South5,little.bluestem,Circ,October,3
South5,indiangrass,Circ,October,8
South5,eastern.willowherb,Circ,October,2
South5,evening.primrose,Circ,October,2
Contr1,flat.topped.goldenrod,Circ,October,12
Contr1,Canada.goldenrod,Circ,October,90
Contr1,c_horsenettle,Circ,October,5
Contr1,pokeweed,Circ,October,1
Contr2,c_horsenettle,Circ,October,10
Contr2,pokeweed,Circ,October,5
Contr2,climbing.hempweed,Circ,October,1
Contr2,climbing.false.buckwheat,Circ,October,4
Contr3,Canada.goldenrod,Circ,October,5
Contr3,pokeweed,Circ,October,22
Contr3,climbing.false.buckwheat,Circ,October,8
Contr4,flat.topped.goldenrod,Circ,October,5
Contr4,Canada.goldenrod,Circ,October,53
Contr4,c_horsenettle,Circ,October,2
Contr5,aromatic.aster,Circ,October,5
Contr5,Canada.goldenrod,Circ,October,21
North1,biennial.beeblossom,Quad,October,6
North1,Canada.goldenrod,Quad,October,7
North1,redtop.panicgrass,Quad,October,5
North1,eastern.willowherb,Quad,October,8
North2,blue.vervain,Quad,October,1
North2,sedge,Quad,October,3
North2,boneset,Quad,October,5
North2,smartweed,Quad,October,2
North3,Canada.goldenrod,Quad,October,15
North3,blue.vervain,Quad,October,1
North4,tall.coneflower,Quad,October,12
North4,biennial.beeblossom,Quad,October,6
North4,river.oats,Quad,October,2
North4,eastern.willowherb,Quad,October,6
North5,tall.coneflower,Quad,October,2
North5,purplestem.aster,Quad,October,5
North5,Canada.goldenrod,Quad,October,1
North5,deertongue,Quad,October,7
North5,m_rose,Quad,October,2
South1,Canada.goldenrod,Quad,October,3
South1,c_horsenettle,Quad,October,2
South1,virginia.wildrye,Quad,October,6
South1,sedge,Quad,October,2
South1,boneset,Quad,October,4
South2,biennial.beeblossom,Quad,October,8
South2,deertongue,Quad,October,22
South2,boneset,Quad,October,1
South2,indiangrass,Quad,October,3
South3,biennial.beeblossom,Quad,October,16
South3,Canada.goldenrod,Quad,October,3
South3,deertongue,Quad,October,3
South3,virginia.wildrye,Quad,October,7
South4,mountainmint,Quad,October,4
South4,virginia.wildrye,Quad,October,17
South4,boneset,Quad,October,3
South4,tall.white.beardtongue,Quad,October,2
South5,tall.coneflower,Quad,October,3
South5,Canada.goldenrod,Quad,October,3
South5,deertongue,Quad,October,1
South5,redtop.panicgrass,Quad,October,4
Contr1,aromatic.aster,Quad,October,3
Contr1,Canada.goldenrod,Quad,October,35
Contr2,flat.topped.goldenrod,Quad,October,2
Contr2,Canada.goldenrod,Quad,October,2
Contr2,c_horsenettle,Quad,October,1
Contr3,Canada.goldenrod,Quad,October,34
Contr3,pokeweed,Quad,October,3
Contr4,flat.topped.goldenrod,Quad,October,2
Contr4,pokeweed,Quad,October,5
Contr5,aromatic.aster,Quad,October,1
Contr5,Canada.goldenrod,Quad,October,5
Contr5,c_horsenettle,Quad,October,3
